Time	pn	pe	pd	u	v	w	phi	theta	psip	q	r
0.0000000	0.0000000	0.0000000	-1.0000000	0.0000000	0.0000000	0.0000000	0.1745329	-0.1745329	-0.1745329	0.0000000	0.0000000	0.0000000
0.0100000	0.0000849	0.0000604	-0.9999251	0.0169884	0.0167285	0.0094348	0.1744699	-0.1744905	-0.1744713	-0.0104723	0.0104717	0.0104720
0.0200000	0.0003394	0.0002415	-0.9997030	0.0338796	0.0333507	0.0184457	0.1742818	-0.1743638	-0.1742877	-0.0207593	0.0207558	0.0207570
0.0300000	0.0007631	0.0005431	-0.9993379	0.0506677	0.0498506	0.0270577	0.1739711	-0.1741543	-0.1739842	-0.0308584	0.0308489	0.0308510
0.0400000	0.0013557	0.0009648	-0.9988345	0.0673471	0.0662126	0.0352953	0.1735402	-0.1738636	-0.1735634	-0.0407671	0.0407478	0.0407502
0.0500000	0.0021165	0.0015062	-0.9981969	0.0839120	0.0824219	0.0431821	0.1729913	-0.1734931	-0.1730275	-0.0504830	0.0504496	0.0504508
0.0600000	0.0030449	0.0021669	-0.9974292	0.1003573	0.0984641	0.0507408	0.1723271	-0.1730441	-0.1723792	-0.0600039	0.0599515	0.0599496
0.0700000	0.0041402	0.0029464	-0.9965356	0.1166774	0.1143253	0.0579937	0.1715501	-0.1725181	-0.1716209	-0.0693274	0.0692510	0.0692432
0.0800000	0.0054015	0.0038439	-0.9955200	0.1328674	0.1299925	0.0649619	0.1706629	-0.1719166	-0.1707554	-0.0784515	0.0783458	0.0783287
0.0900000	0.0068277	0.0048587	-0.9943863	0.1489222	0.1454530	0.0716660	0.1696681	-0.1712408	-0.1697852	-0.0873740	0.0872340	0.0872033
0.1000000	0.0084177	0.0059901	-0.9931381	0.1648369	0.1606946	0.0781258	0.1685685	-0.1704922	-0.1687132	-0.0960932	0.0959136	0.0958644
0.1100000	0.0101703	0.0072371	-0.9917792	0.1806065	0.1757058	0.0843600	0.1673668	-0.1696721	-0.1675421	-0.1046072	0.1043830	0.1043095
0.1200000	0.0120842	0.0085988	-0.9903130	0.1962264	0.1904756	0.0903869	0.1660658	-0.1687819	-0.1662747	-0.1129142	0.1126407	0.1125366
0.1300000	0.0141580	0.0100742	-0.9887432	0.2116916	0.2049935	0.0962236	0.1646682	-0.1678230	-0.1649139	-0.1210127	0.1206857	0.1205437
0.1400000	0.0163901	0.0116620	-0.9870729	0.2269976	0.2192494	0.1018868	0.1631770	-0.1667968	-0.1634627	-0.1289010	0.1285167	0.1283291
0.1500000	0.0187790	0.0133613	-0.9853057	0.2421397	0.2332340	0.1073920	0.1615949	-0.1657045	-0.1619238	-0.1365779	0.1361330	0.1358911
0.1600000	0.0213228	0.0151706	-0.9834445	0.2571133	0.2469382	0.1127542	0.1599250	-0.1645476	-0.1603003	-0.1440421	0.1435338	0.1432284
0.1700000	0.0240199	0.0170887	-0.9814926	0.2719137	0.2603535	0.1179874	0.1581700	-0.1633274	-0.1585951	-0.1512923	0.1507187	0.1503399
0.1800000	0.0268684	0.0191141	-0.9794531	0.2865364	0.2734721	0.1231049	0.1563330	-0.1620452	-0.1568112	-0.1583276	0.1576873	0.1572247
0.1900000	0.0298662	0.0212455	-0.9773287	0.3009769	0.2862864	0.1281192	0.1544168	-0.1607024	-0.1549516	-0.1651470	0.1644395	0.1638819
0.2000000	0.0330114	0.0234813	-0.9751226	0.3152306	0.2987893	0.1330421	0.1524245	-0.1593003	-0.1530193	-0.1717496	0.1709753	0.1703111
0.2100000	0.0363017	0.0258199	-0.9728374	0.3292930	0.3109744	0.1378846	0.1503590	-0.1578404	-0.1510172	-0.1781348	0.1772947	0.1765118
0.2200000	0.0397351	0.0282598	-0.9704758	0.3431598	0.3228355	0.1426567	0.1482232	-0.1563240	-0.1489485	-0.1843020	0.1833982	0.1824839
0.2300000	0.0433093	0.0307991	-0.9680407	0.3568263	0.3343672	0.1473681	0.1460201	-0.1547524	-0.1468161	-0.1902507	0.1892862	0.1882273
0.2400000	0.0470219	0.0334361	-0.9655344	0.3702882	0.3455641	0.1520274	0.1437527	-0.1531270	-0.1446229	-0.1959806	0.1949591	0.1937423
0.2500000	0.0508706	0.0361691	-0.9629597	0.3835412	0.3564217	0.1566428	0.1414238	-0.1514493	-0.1423720	-0.2014916	0.2004179	0.1990292
0.2600000	0.0548529	0.0389962	-0.9603188	0.3965809	0.3669355	0.1612215	0.1390366	-0.1497205	-0.1400663	-0.2067834	0.2056633	0.2040885
0.2700000	0.0589663	0.0419155	-0.9576143	0.4094029	0.3771019	0.1657702	0.1365938	-0.1479421	-0.1377088	-0.2118561	0.2106962	0.2089209
0.2800000	0.0632082	0.0449250	-0.9548485	0.4220031	0.3869174	0.1702950	0.1340985	-0.1461155	-0.1353024	-0.2167100	0.2155178	0.2135273
0.2900000	0.0675761	0.0480227	-0.9520235	0.4343772	0.3963791	0.1748011	0.1315534	-0.1442422	-0.1328499	-0.2213452	0.2201293	0.2179087
0.3000000	0.0720672	0.0512066	-0.9491417	0.4465211	0.4054843	0.1792934	0.1289615	-0.1423234	-0.1303543	-0.2257622	0.2245321	0.2220663
0.3100000	0.0766790	0.0544746	-0.9462052	0.4584307	0.4142310	0.1837759	0.1263257	-0.1403607	-0.1278184	-0.2299616	0.2287274	0.2260014
0.3200000	0.0814086	0.0578246	-0.9432160	0.4701020	0.4226173	0.1882524	0.1236487	-0.1383555	-0.1252450	-0.2339439	0.2327170	0.2297155
0.3300000	0.0862532	0.0612544	-0.9401763	0.4815312	0.4306420	0.1927256	0.1209334	-0.1363093	-0.1226369	-0.2377100	0.2365023	0.2332102
0.3400000	0.0912101	0.0647618	-0.9370879	0.4927143	0.4383041	0.1971982	0.1181825	-0.1342235	-0.1199969	-0.2412607	0.2400851	0.2364872
0.3500000	0.0962765	0.0683445	-0.9339529	0.5036477	0.4456029	0.2016719	0.1153988	-0.1320995	-0.1173276	-0.2445971	0.2434673	0.2395485
0.3600000	0.1014493	0.0720004	-0.9307730	0.5143277	0.4525383	0.2061484	0.1125850	-0.1299389	-0.1146316	-0.2477203	0.2466507	0.2423961
0.3700000	0.1067259	0.0757272	-0.9275502	0.5247508	0.4591105	0.2106286	0.1097438	-0.1277432	-0.1119117	-0.2506317	0.2496373	0.2450320
0.3800000	0.1121031	0.0795224	-0.9242862	0.5349136	0.4653199	0.2151130	0.1068778	-0.1255137	-0.1091704	-0.2533324	0.2524292	0.2474587
0.3900000	0.1175781	0.0833839	-0.9209827	0.5448129	0.4711674	0.2196016	0.1039896	-0.1232521	-0.1064101	-0.2558242	0.2550284	0.2496784
0.4000000	0.1231480	0.0873091	-0.9176414	0.5544455	0.4766541	0.2240943	0.1010817	-0.1209598	-0.1036335	-0.2581084	0.2574372	0.2516936
0.4100000	0.1288097	0.0912957	-0.9142639	0.5638084	0.4817818	0.2285903	0.0981567	-0.1186384	-0.1008429	-0.2601870	0.2596578	0.2535070
0.4200000	0.1345603	0.0953413	-0.9108519	0.5728988	0.4865520	0.2330886	0.0952171	-0.1162893	-0.0980407	-0.2620617	0.2616926	0.2551212
0.4300000	0.1403968	0.0994435	-0.9074069	0.5817140	0.4909672	0.2375877	0.0922652	-0.1139141	-0.0952292	-0.2637345	0.2635440	0.2565390
0.4400000	0.1463162	0.1035998	-0.9039304	0.5902514	0.4950296	0.2420861	0.0893035	-0.1115143	-0.0924107	-0.2652074	0.2652143	0.2577633
0.4500000	0.1523154	0.1078078	-0.9004238	0.5985088	0.4987421	0.2465818	0.0863343	-0.1090915	-0.0895874	-0.2664825	0.2667061	0.2587971
0.4600000	0.1583915	0.1120649	-0.8968887	0.6064839	0.5021077	0.2510725	0.0833598	-0.1066472	-0.0867615	-0.2675621	0.2680219	0.2596434
0.4700000	0.1645414	0.1163688	-0.8933263	0.6141746	0.5051296	0.2555557	0.0803824	-0.1041828	-0.0839352	-0.2684487	0.2691643	0.2603053
0.4800000	0.1707622	0.1207170	-0.8897381	0.6215793	0.5078116	0.2600288	0.0774041	-0.1017000	-0.0811103	-0.2691445	0.2701359	0.2607861
0.4900000	0.1770508	0.1251068	-0.8861252	0.6286962	0.5101574	0.2644888	0.0744272	-0.0992004	-0.0782891	-0.2696522	0.2709395	0.2610890
0.5000000	0.1834043	0.1295359	-0.8824891	0.6355239	0.5121710	0.2689326	0.0714537	-0.0966853	-0.0754733	-0.2699745	0.2715776	0.2612172
0.5100000	0.1898196	0.1340017	-0.8788310	0.6420611	0.5138568	0.2733571	0.0684857	-0.0941564	-0.0726649	-0.2701139	0.2720531	0.2611743
0.5200000	0.1962937	0.1385018	-0.8751520	0.6483069	0.5152193	0.2777589	0.0655251	-0.0916152	-0.0698658	-0.2700734	0.2723687	0.2609637
0.5300000	0.2028238	0.1430336	-0.8714534	0.6542603	0.5162632	0.2821344	0.0625739	-0.0890632	-0.0670776	-0.2698558	0.2725273	0.2605888
0.5400000	0.2094068	0.1475946	-0.8677362	0.6599207	0.5169934	0.2864801	0.0596340	-0.0865020	-0.0643022	-0.2694641	0.2725315	0.2600531
0.5500000	0.2160397	0.1521824	-0.8640016	0.6652876	0.5174151	0.2907923	0.0567072	-0.0839330	-0.0615411	-0.2689014	0.2723844	0.2593603
0.5600000	0.2227198	0.1567944	-0.8602507	0.6703609	0.5175335	0.2950672	0.0537952	-0.0813578	-0.0587959	-0.2681707	0.2720888	0.2585140
0.5700000	0.2294440	0.1614282	-0.8564844	0.6751406	0.5173541	0.2993012	0.0508998	-0.0787778	-0.0560683	-0.2672753	0.2716475	0.2575178
0.5800000	0.2362096	0.1660813	-0.8527039	0.6796267	0.5168825	0.3034904	0.0480226	-0.0761946	-0.0533597	-0.2662184	0.2710635	0.2563753
0.5900000	0.2430135	0.1707513	-0.8489102	0.6838197	0.5161245	0.3076310	0.0451654	-0.0736097	-0.0506716	-0.2650034	0.2703398	0.2550903
