time delta1 delta2 delta3 delta4
0.000000 385641.000000 385641.000000 385641.000000 385641.000000
0.010000 395597.825350 395597.825350 395597.825350 395597.825350
0.020000 405521.543452 405521.543452 405521.543452 405521.543452
0.030000 415246.880234 415246.880234 415246.880234 415246.880234
0.040000 424606.456478 424606.456478 424606.456478 424606.456478
0.050000 433434.307464 433434.307464 433434.307464 433434.307464
0.060000 441569.653874 441569.653874 441569.653874 441569.653874
0.070000 448860.791998 448860.791998 448860.791998 448860.791998
0.080000 455168.956777 455168.956777 455168.956777 455168.956777
0.090000 460372.004367 460372.004367 460372.004367 460372.004367
0.100000 464367.762242 464367.762242 464367.762242 464367.762242
0.110000 467076.904575 467076.904575 467076.904575 467076.904575
0.120000 468445.228082 468445.228082 468445.228082 468445.228082
0.130000 468445.228082 468445.228082 468445.228082 468445.228082
0.140000 467076.904575 467076.904575 467076.904575 467076.904575
0.150000 464367.762242 464367.762242 464367.762242 464367.762242
0.160000 460372.004367 460372.004367 460372.004367 460372.004367
0.170000 455168.956777 455168.956777 455168.956777 455168.956777
0.180000 448860.791998 448860.791998 448860.791998 448860.791998
0.190000 441569.653874 441569.653874 441569.653874 441569.653874
0.200000 433434.307464 433434.307464 433434.307464 433434.307464
0.210000 424606.456478 424606.456478 424606.456478 424606.456478
0.220000 415246.880234 415246.880234 415246.880234 415246.880234
0.230000 405521.543452 405521.543452 405521.543452 405521.543452
0.240000 395597.825350 395597.825350 395597.825350 395597.825350
0.250000 385641.000000 385641.000000 385641.000000 385641.000000
0.260000 375811.078733 375811.078733 375811.078733 375811.078733
0.270000 366260.099032 366260.099032 366260.099032 366260.099032
0.280000 357129.914443 357129.914443 357129.914443 357129.914443
0.290000 348550.508584 348550.508584 348550.508584 348550.508584
0.300000 340638.825199 340638.825199 340638.825199 340638.825199
0.310000 333498.077427 333498.077427 333498.077427 333498.077427
0.320000 327217.474688 327217.474688 327217.474688 327217.474688
0.330000 321872.286385 321872.286385 321872.286385 321872.286385
0.340000 317524.149011 317524.149011 317524.149011 317524.149011
0.350000 314221.517935 314221.517935 314221.517935 314221.517935
0.360000 312000.167283 312000.167283 312000.167283 312000.167283
0.370000 310883.650590 310883.650590 310883.650590 310883.650590
0.380000 310883.650590 310883.650590 310883.650590 310883.650590
0.390000 312000.167283 312000.167283 312000.167283 312000.167283
0.400000 314221.517935 314221.517935 314221.517935 314221.517935
0.410000 317524.149011 317524.149011 317524.149011 317524.149011
